date,open,high,low,close,volume
2023-12-28 00:00:00+05:30,710.0,727.5,670.05,677.1,780138
2023-12-29 00:00:00+05:30,685.0,714.0,684.9,692.4,148570
2024-01-01 00:00:00+05:30,699.3,702.4,680.15,683.45,124554
2024-01-02 00:00:00+05:30,684.0,693.75,675.2,676.3,79812
2024-01-03 00:00:00+05:30,676.25,681.95,665.5,666.5,108795
2024-01-04 00:00:00+05:30,665.0,673.45,660.0,661.5,21371
2024-01-05 00:00:00+05:30,664.0,675.0,657.5,661.7,71553
2024-01-08 00:00:00+05:30,661.25,668.5,648.15,658.9,68601
2024-01-09 00:00:00+05:30,662.2,671.95,659.0,667.8,18594
2024-01-10 00:00:00+05:30,667.0,675.5,663.3,673.85,40254
2024-01-11 00:00:00+05:30,677.85,677.85,666.05,669.5,36074
2024-01-12 00:00:00+05:30,694.2,705.6,684.7,690.65,61816
2024-01-15 00:00:00+05:30,694.25,697.15,680.25,684.8,72836
2024-01-16 00:00:00+05:30,685.15,686.0,665.0,670.7,19315
2024-01-17 00:00:00+05:30,666.15,672.75,641.95,660.15,41740
2024-01-18 00:00:00+05:30,656.4,669.0,644.0,665.35,81581
2024-01-19 00:00:00+05:30,666.85,678.0,666.6,669.65,20851
2024-01-20 00:00:00+05:30,681.9,682.0,667.1,678.95,11439
2024-01-23 00:00:00+05:30,679.0,688.05,664.55,669.85,71602
2024-01-24 00:00:00+05:30,680.4,682.15,668.85,670.65,35001
2024-01-25 00:00:00+05:30,677.85,681.75,672.8,676.3,9205
2024-01-29 00:00:00+05:30,680.55,745.55,680.55,711.7,359761
2024-01-30 00:00:00+05:30,723.95,854.0,718.8,854.0,256020
2024-01-31 00:00:00+05:30,917.0,1013.0,892.45,961.3,408543
2024-02-01 00:00:00+05:30,959.85,981.45,925.0,943.2,197674
2024-02-02 00:00:00+05:30,954.45,969.45,937.0,945.5,23874
2024-02-05 00:00:00+05:30,944.6,949.6,893.55,931.6,115634
2024-02-06 00:00:00+05:30,932.0,934.15,890.6,897.25,21390
2024-02-07 00:00:00+05:30,962.85,986.95,940.95,986.95,62427
2024-02-08 00:00:00+05:30,1013.95,1046.35,973.15,994.2,62555
2024-02-09 00:00:00+05:30,1001.0,1010.0,942.25,970.3,63259
2024-02-12 00:00:00+05:30,980.15,995.75,931.25,957.6,54320
2024-02-13 00:00:00+05:30,973.75,989.95,901.0,980.55,17114
2024-02-14 00:00:00+05:30,962.75,1019.0,930.45,1013.15,76414
2024-02-15 00:00:00+05:30,1021.4,1100.0,1021.4,1070.1,36335
2024-02-16 00:00:00+05:30,1075.25,1144.0,1075.25,1113.8,38330
2024-02-19 00:00:00+05:30,1123.45,1225.15,1119.65,1225.15,86340
2024-02-20 00:00:00+05:30,1276.95,1286.4,1206.1,1215.5,134694
2024-02-21 00:00:00+05:30,1225.1,1228.9,1154.75,1157.7,28407
2024-02-22 00:00:00+05:30,1161.15,1215.55,1118.0,1215.55,49973
2024-02-23 00:00:00+05:30,1240.1,1246.0,1195.0,1203.45,17919
2024-02-26 00:00:00+05:30,1215.0,1217.15,1180.0,1186.0,8142
2024-02-27 00:00:00+05:30,1180.15,1212.0,1172.05,1181.25,6701
2024-02-28 00:00:00+05:30,1167.1,1207.55,1163.7,1180.65,26516
2024-02-29 00:00:00+05:30,1190.05,1239.65,1181.0,1209.4,14403
2024-03-01 00:00:00+05:30,1213.1,1269.85,1213.1,1269.85,25120
2024-03-02 00:00:00+05:30,1319.8,1333.3,1279.2,1333.3,18844
2024-03-04 00:00:00+05:30,1364.0,1399.95,1333.0,1399.0,60465
2024-03-05 00:00:00+05:30,1425.0,1465.0,1347.35,1357.45,63341
2024-03-06 00:00:00+05:30,1356.9,1380.0,1289.6,1298.15,75109
2024-03-07 00:00:00+05:30,1325.05,1363.05,1325.05,1354.0,65294
2024-03-11 00:00:00+05:30,1364.1,1364.1,1291.0,1302.0,28610
2024-03-12 00:00:00+05:30,1329.15,1336.35,1252.3,1282.4,18324
2024-03-13 00:00:00+05:30,1260.05,1299.55,1218.3,1218.3,12090
2024-03-14 00:00:00+05:30,1172.0,1257.5,1157.65,1220.25,25766
2024-03-15 00:00:00+05:30,1268.75,1268.75,1194.8,1214.3,8846
2024-03-18 00:00:00+05:30,1214.45,1260.0,1214.45,1231.7,19098
2024-03-19 00:00:00+05:30,1244.85,1244.85,1204.0,1217.5,15548
2024-03-20 00:00:00+05:30,1239.85,1239.85,1194.95,1208.5,14222
2024-03-21 00:00:00+05:30,1220.0,1268.9,1220.0,1268.9,5081
2024-03-22 00:00:00+05:30,1281.95,1332.3,1268.85,1331.05,26930
2024-03-26 00:00:00+05:30,1345.3,1359.9,1288.6,1329.5,16715
2024-03-27 00:00:00+05:30,1337.1,1357.55,1310.0,1324.95,9025
2024-03-28 00:00:00+05:30,1325.15,1385.0,1279.3,1364.6,44471
2024-04-01 00:00:00+05:30,1377.15,1409.0,1345.1,1349.85,10375
2024-04-02 00:00:00+05:30,1370.85,1375.0,1332.05,1338.9,17979
2024-04-03 00:00:00+05:30,1330.2,1358.0,1310.0,1318.5,21419
2024-04-04 00:00:00+05:30,1344.9,1344.9,1295.5,1304.5,7608
2024-04-05 00:00:00+05:30,1315.35,1369.7,1301.6,1320.25,33100
2024-04-08 00:00:00+05:30,1325.0,1349.3,1316.1,1322.15,12157
2024-04-09 00:00:00+05:30,1323.75,1365.5,1285.35,1302.85,8566
2024-04-10 00:00:00+05:30,1322.85,1325.0,1290.05,1307.5,24674
2024-04-12 00:00:00+05:30,1304.9,1318.15,1271.1,1276.05,17423
2024-04-15 00:00:00+05:30,1212.25,1263.5,1212.25,1244.15,10813
2024-04-16 00:00:00+05:30,1221.15,1268.25,1221.15,1244.25,12699
2024-04-18 00:00:00+05:30,1250.1,1306.45,1250.1,1267.3,23048
2024-04-19 00:00:00+05:30,1245.1,1285.55,1242.95,1263.6,11822
2024-04-22 00:00:00+05:30,1268.55,1315.0,1268.55,1297.6,27883
2024-04-23 00:00:00+05:30,1330.05,1358.95,1308.0,1340.8,40119
2024-04-24 00:00:00+05:30,1354.85,1389.65,1325.0,1334.45,35608
2024-04-25 00:00:00+05:30,1360.0,1400.0,1343.6,1381.7,63591
