date,open,high,low,close,volume
2023-09-21 00:00:00+05:30,281.55,290.85,268.6,279.75,1820503
2023-09-22 00:00:00+05:30,280.0,284.8,265.4,267.7,188023
2023-09-25 00:00:00+05:30,267.0,269.3,247.2,252.25,205892
2023-09-26 00:00:00+05:30,252.05,261.75,251.9,256.5,94982
2023-09-27 00:00:00+05:30,256.55,258.15,246.5,248.65,113211
2023-09-28 00:00:00+05:30,248.7,271.0,248.7,258.8,297920
2023-09-29 00:00:00+05:30,263.15,272.75,262.75,266.75,73378
2023-10-03 00:00:00+05:30,266.8,291.95,266.8,286.95,290812
2023-10-04 00:00:00+05:30,287.05,291.5,275.2,277.2,169802
2023-10-05 00:00:00+05:30,279.85,304.9,278.8,304.9,308370
2023-10-06 00:00:00+05:30,313.0,333.75,310.0,323.45,438256
2023-10-09 00:00:00+05:30,320.0,332.9,307.8,312.0,227274
2023-10-10 00:00:00+05:30,319.95,328.5,316.0,317.0,97366
2023-10-11 00:00:00+05:30,320.0,327.65,314.75,323.9,53599
2023-10-12 00:00:00+05:30,334.95,334.95,322.4,325.25,100051
2023-10-13 00:00:00+05:30,324.95,332.5,321.6,327.15,69792
2023-10-16 00:00:00+05:30,327.5,329.45,315.4,318.4,53074
2023-10-17 00:00:00+05:30,321.25,324.4,311.1,311.95,32808
2023-10-18 00:00:00+05:30,314.0,315.35,301.1,303.05,27846
2023-10-19 00:00:00+05:30,302.65,316.0,300.55,310.05,40771
2023-10-20 00:00:00+05:30,309.1,319.95,296.95,301.35,66467
2023-10-23 00:00:00+05:30,307.95,308.0,290.0,292.4,38534
2023-10-25 00:00:00+05:30,298.25,301.05,277.75,289.6,23768
2023-10-26 00:00:00+05:30,294.75,294.75,277.0,285.5,32757
2023-10-27 00:00:00+05:30,291.05,302.05,289.9,299.3,33329
2023-10-30 00:00:00+05:30,302.0,305.0,296.0,297.5,30065
2023-10-31 00:00:00+05:30,297.5,304.15,290.1,292.75,26173
2023-11-01 00:00:00+05:30,294.85,306.25,294.45,300.85,24456
2023-11-02 00:00:00+05:30,304.2,304.55,295.0,297.6,14748
2023-11-03 00:00:00+05:30,300.95,304.85,298.8,301.4,24055
2023-11-06 00:00:00+05:30,300.45,318.25,300.45,317.1,23582
2023-11-07 00:00:00+05:30,322.35,325.95,318.0,324.5,93120
2023-11-08 00:00:00+05:30,322.05,354.3,322.05,349.25,141262
2023-11-09 00:00:00+05:30,354.45,361.45,345.7,350.75,137682
2023-11-10 00:00:00+05:30,358.95,363.0,344.4,359.7,49518
2023-11-12 00:00:00+05:30,364.8,376.0,364.8,374.25,26725
2023-11-13 00:00:00+05:30,376.0,383.15,365.75,379.4,106377
2023-11-15 00:00:00+05:30,417.3,417.3,405.2,417.3,68902
2023-11-16 00:00:00+05:30,438.15,438.15,438.15,438.15,2990
2023-11-17 00:00:00+05:30,454.0,454.0,424.2,427.5,91305
2023-11-20 00:00:00+05:30,434.45,434.45,408.8,411.7,47832
2023-11-21 00:00:00+05:30,415.05,432.25,413.5,432.25,8337
2023-11-22 00:00:00+05:30,445.0,453.85,440.0,453.85,66906
2023-11-23 00:00:00+05:30,461.9,476.5,436.0,457.35,114672
2023-11-24 00:00:00+05:30,459.7,466.45,439.0,440.9,54133
2023-11-28 00:00:00+05:30,452.05,456.1,435.0,445.6,17987
2023-11-29 00:00:00+05:30,448.0,453.0,440.0,443.4,38739
2023-11-30 00:00:00+05:30,449.25,449.25,433.55,435.25,19745
2023-12-01 00:00:00+05:30,435.05,457.0,435.05,457.0,44353
2023-12-04 00:00:00+05:30,474.4,479.85,474.4,479.85,34468
2023-12-05 00:00:00+05:30,487.0,487.0,457.1,465.85,51768
2023-12-06 00:00:00+05:30,464.95,471.65,448.0,459.15,29210
2023-12-07 00:00:00+05:30,464.0,471.95,454.05,461.6,7342
2023-12-08 00:00:00+05:30,470.6,470.6,455.0,457.0,9299
2023-12-11 00:00:00+05:30,458.8,458.8,445.65,448.75,23622
2023-12-12 00:00:00+05:30,451.55,451.55,437.75,444.15,8633
2023-12-13 00:00:00+05:30,446.05,451.45,438.95,442.7,15559
2023-12-14 00:00:00+05:30,445.55,453.15,428.15,432.45,12445
2023-12-15 00:00:00+05:30,432.65,443.2,425.7,436.85,45288
2023-12-18 00:00:00+05:30,436.85,438.45,424.2,425.1,7835
2023-12-19 00:00:00+05:30,426.45,432.7,420.1,424.4,11331
2023-12-20 00:00:00+05:30,424.0,426.65,403.2,404.15,53681
2023-12-21 00:00:00+05:30,399.85,420.2,398.9,416.75,14481
2023-12-22 00:00:00+05:30,424.25,424.25,406.25,416.9,32901
2023-12-26 00:00:00+05:30,437.7,437.7,437.7,437.7,10219
2023-12-27 00:00:00+05:30,459.55,459.55,434.2,436.85,109303
2023-12-28 00:00:00+05:30,444.5,444.5,431.15,434.1,11867
2023-12-29 00:00:00+05:30,435.6,437.35,418.9,424.65,39115
2024-01-01 00:00:00+05:30,422.4,445.85,422.35,445.85,115090
2024-01-02 00:00:00+05:30,447.0,456.0,432.25,437.25,37285
2024-01-03 00:00:00+05:30,440.15,459.0,436.35,445.8,55405
2024-01-04 00:00:00+05:30,452.5,458.0,448.0,454.05,21699
2024-01-05 00:00:00+05:30,457.85,467.7,450.0,457.0,31741
2024-01-08 00:00:00+05:30,471.95,471.95,434.15,434.15,42731
2024-01-09 00:00:00+05:30,441.25,443.0,428.05,431.2,23047
2024-01-10 00:00:00+05:30,435.45,452.75,428.0,446.9,149777
2024-01-11 00:00:00+05:30,448.0,451.0,440.85,445.4,15578
2024-01-12 00:00:00+05:30,446.3,448.4,436.95,443.35,14436
2024-01-15 00:00:00+05:30,433.4,456.0,433.4,450.75,49329
2024-01-16 00:00:00+05:30,449.75,455.75,440.1,443.1,23433
2024-01-17 00:00:00+05:30,422.15,442.5,422.15,435.75,29787
2024-01-18 00:00:00+05:30,448.95,457.5,425.0,457.5,46292
2024-01-19 00:00:00+05:30,480.35,480.35,466.55,475.3,223396
2024-01-20 00:00:00+05:30,475.6,481.4,463.7,465.55,47510
2024-01-23 00:00:00+05:30,480.0,480.0,446.55,450.4,26222
2024-01-24 00:00:00+05:30,443.05,455.75,443.05,452.5,23765
2024-01-25 00:00:00+05:30,458.65,461.6,451.9,456.0,8762
2024-01-29 00:00:00+05:30,464.85,478.8,458.75,478.8,80642
2024-01-30 00:00:00+05:30,483.15,502.7,483.15,502.7,73988
2024-01-31 00:00:00+05:30,527.8,527.8,517.5,527.8,56316
2024-02-01 00:00:00+05:30,554.15,554.15,513.0,542.8,133108
2024-02-02 00:00:00+05:30,564.85,569.9,551.15,569.35,37717
2024-02-05 00:00:00+05:30,576.2,588.85,556.05,570.5,69651
2024-02-06 00:00:00+05:30,573.45,599.0,573.45,588.4,25754
2024-02-07 00:00:00+05:30,579.15,594.05,566.2,579.95,19895
2024-02-08 00:00:00+05:30,579.0,584.85,571.25,573.15,25998
2024-02-09 00:00:00+05:30,573.5,587.2,550.15,584.25,24038
2024-02-12 00:00:00+05:30,584.35,594.55,555.05,555.05,48238
2024-02-13 00:00:00+05:30,527.3,535.0,527.3,527.3,7032
2024-02-14 00:00:00+05:30,500.95,522.85,500.95,500.95,93038
2024-02-15 00:00:00+05:30,487.9,512.55,487.9,496.8,22216
2024-02-16 00:00:00+05:30,503.25,516.0,492.65,504.9,14459
2024-02-19 00:00:00+05:30,514.95,514.95,493.7,496.2,24372
