date,open,high,low,close,volume
2025-03-06 00:00:00+05:30,143.8,143.8,136.65,136.65,1945
2025-03-07 00:00:00+05:30,129.85,129.85,129.85,129.85,1531
2025-03-10 00:00:00+05:30,123.4,123.4,123.4,123.4,3052
2025-03-11 00:00:00+05:30,117.25,117.25,117.25,117.25,529
2025-03-12 00:00:00+05:30,111.4,111.4,111.4,111.4,434
2025-03-13 00:00:00+05:30,105.85,105.85,105.85,105.85,2794
2025-03-17 00:00:00+05:30,100.6,100.6,100.6,100.6,181
2025-03-18 00:00:00+05:30,95.6,95.6,95.6,95.6,924
2025-03-19 00:00:00+05:30,90.85,90.85,90.85,90.85,594
2025-03-20 00:00:00+05:30,86.35,86.35,86.35,86.35,687
2025-03-21 00:00:00+05:30,78.0,90.0,78.0,81.0,30307
2025-03-24 00:00:00+05:30,89.1,89.1,83.3,89.1,43078
2025-03-25 00:00:00+05:30,90.05,98.0,89.1,91.1,13638
2025-03-26 00:00:00+05:30,88.05,94.3,84.6,85.2,9347
2025-03-27 00:00:00+05:30,81.0,85.95,78.0,81.0,14872
2025-03-28 00:00:00+05:30,75.15,83.95,75.15,77.8,10658
2025-04-01 00:00:00+05:30,77.8,82.24,74.02,78.67,3509
2025-04-02 00:00:00+05:30,79.0,85.49,78.02,80.6,1914
2025-04-03 00:00:00+05:30,82.0,87.3,76.52,82.92,6066
2025-04-04 00:00:00+05:30,89.8,89.8,80.0,81.63,2105
2025-04-07 00:00:00+05:30,75.0,82.5,75.0,81.23,4266
2025-04-08 00:00:00+05:30,81.23,85.9,81.0,82.0,4233
2025-04-09 00:00:00+05:30,84.0,87.0,81.9,83.96,3362
2025-04-11 00:00:00+05:30,83.96,86.39,80.01,84.79,2305
2025-04-15 00:00:00+05:30,85.2,93.26,85.0,88.62,61872
2025-04-16 00:00:00+05:30,87.6,97.48,87.6,97.05,14786
2025-04-17 00:00:00+05:30,93.61,106.75,87.35,87.35,35218
2025-04-21 00:00:00+05:30,81.0,89.0,81.0,88.2,6399
2025-04-22 00:00:00+05:30,86.45,94.0,86.45,92.17,13246
2025-04-23 00:00:00+05:30,101.3,101.38,94.72,98.5,31411
2025-04-24 00:00:00+05:30,101.34,108.25,99.99,106.11,14582
2025-04-25 00:00:00+05:30,107.0,116.72,101.51,116.71,12980
2025-04-28 00:00:00+05:30,120.8,122.54,119.0,122.54,13358
2025-04-29 00:00:00+05:30,128.66,128.66,128.66,128.66,4855
2025-04-30 00:00:00+05:30,135.09,135.09,135.09,135.09,5571
2025-05-02 00:00:00+05:30,141.8,141.8,141.8,141.8,5754
2025-05-05 00:00:00+05:30,148.75,148.85,134.75,134.75,6875
2025-05-06 00:00:00+05:30,128.05,128.05,128.05,128.05,3615
2025-05-07 00:00:00+05:30,121.65,128.05,121.65,121.8,5620
2025-05-08 00:00:00+05:30,121.2,127.85,118.5,126.25,4848
2025-05-09 00:00:00+05:30,131.8,131.8,120.05,122.55,1430
2025-05-12 00:00:00+05:30,123.55,124.15,116.45,116.5,5132
2025-05-13 00:00:00+05:30,122.2,122.2,110.75,111.75,4305
2025-05-14 00:00:00+05:30,117.0,117.0,109.0,116.45,468
