date,open,high,low,close,volume
2025-07-01 00:00:00+05:30,1000.0,1050.0,950.0,969.2,1113469
2025-07-02 00:00:00+05:30,958.5,964.0,920.8,921.2,930350
2025-07-03 00:00:00+05:30,910.1,917.8,876.0,882.1,410467
2025-07-04 00:00:00+05:30,880.0,926.2,861.9,926.2,348851
2025-07-07 00:00:00+05:30,926.2,941.0,900.0,905.9,131762
2025-07-08 00:00:00+05:30,901.0,905.0,876.1,894.2,169967
2025-07-09 00:00:00+05:30,885.1,894.2,860.1,865.4,439476
2025-07-10 00:00:00+05:30,867.9,886.0,858.1,861.8,201248
2025-07-11 00:00:00+05:30,865.8,874.0,844.0,855.7,206989
2025-07-14 00:00:00+05:30,856.9,857.0,826.4,832.4,180204
2025-07-15 00:00:00+05:30,840.0,844.0,803.0,810.5,388929
2025-07-16 00:00:00+05:30,811.7,819.8,784.0,800.5,413488
2025-07-17 00:00:00+05:30,805.0,834.4,797.8,809.5,369100
2025-07-18 00:00:00+05:30,817.0,830.0,802.2,815.5,245041
2025-07-21 00:00:00+05:30,812.0,817.9,786.2,789.0,225298
2025-07-22 00:00:00+05:30,788.4,788.5,754.0,757.4,291995
2025-07-23 00:00:00+05:30,758.0,779.7,754.1,768.8,307479
2025-07-24 00:00:00+05:30,765.9,776.4,745.6,748.5,272192
2025-07-25 00:00:00+05:30,747.2,749.0,703.0,714.6,391529
2025-07-28 00:00:00+05:30,718.0,722.6,689.4,702.0,335839
2025-07-29 00:00:00+05:30,693.0,712.5,684.3,705.7,194706
2025-07-30 00:00:00+05:30,705.0,731.7,702.6,718.3,251316
2025-07-31 00:00:00+05:30,704.0,710.9,686.0,689.6,326755
2025-08-01 00:00:00+05:30,694.6,698.0,672.0,675.35,195405
2025-08-04 00:00:00+05:30,683.5,703.45,666.0,694.75,274939
2025-08-05 00:00:00+05:30,703.95,729.0,686.7,724.65,393046
2025-08-06 00:00:00+05:30,725.0,726.0,660.0,665.1,737804
2025-08-07 00:00:00+05:30,664.0,664.9,636.7,644.45,260204
2025-08-08 00:00:00+05:30,644.95,658.0,641.1,644.6,151049
2025-08-11 00:00:00+05:30,644.9,652.0,619.2,635.35,718731
2025-08-12 00:00:00+05:30,640.0,694.95,638.0,681.1,1449004
2025-08-13 00:00:00+05:30,690.0,696.3,666.15,671.45,298350
2025-08-14 00:00:00+05:30,678.0,678.0,644.0,647.0,175609
2025-08-18 00:00:00+05:30,665.95,665.95,636.0,639.65,184350
2025-08-19 00:00:00+05:30,640.0,658.8,637.05,651.05,298578
2025-08-20 00:00:00+05:30,653.0,686.5,650.1,653.75,513568
2025-08-21 00:00:00+05:30,653.95,661.65,644.2,648.25,229621
2025-08-22 00:00:00+05:30,650.0,655.1,636.3,638.0,166655
2025-08-25 00:00:00+05:30,635.15,650.0,633.0,636.4,119773
2025-08-26 00:00:00+05:30,636.45,639.3,620.1,622.65,159681
2025-08-28 00:00:00+05:30,622.95,635.45,612.8,620.2,117188
2025-08-29 00:00:00+05:30,620.5,625.7,603.85,606.65,158193
2025-09-01 00:00:00+05:30,607.0,638.0,606.0,618.65,253445
2025-09-02 00:00:00+05:30,621.95,638.9,616.95,625.8,133189
2025-09-03 00:00:00+05:30,625.2,628.8,611.75,617.85,278152
2025-09-04 00:00:00+05:30,625.0,632.5,604.0,606.6,170478
2025-09-05 00:00:00+05:30,609.45,618.1,602.05,614.35,150188
2025-09-08 00:00:00+05:30,620.0,641.4,611.0,620.65,574922
2025-09-09 00:00:00+05:30,629.65,649.75,622.95,645.35,309621
2025-09-10 00:00:00+05:30,647.0,653.1,635.0,636.65,193406
2025-09-11 00:00:00+05:30,636.65,641.8,614.7,617.15,212713
2025-09-12 00:00:00+05:30,620.95,627.25,613.6,614.85,144153
2025-09-15 00:00:00+05:30,615.9,630.4,612.5,628.3,132262
2025-09-16 00:00:00+05:30,628.3,635.0,625.05,628.9,79052
2025-09-17 00:00:00+05:30,631.0,648.4,630.25,640.2,213264
2025-09-18 00:00:00+05:30,645.0,652.0,633.25,639.5,301155
