date,open,high,low,close,volume
2024-02-05 00:00:00+05:30,116.0,121.8,116.0,119.95,967200
2024-02-06 00:00:00+05:30,117.0,120.5,116.8,117.3,188400
2024-02-07 00:00:00+05:30,120.1,120.1,116.9,117.15,124800
2024-02-08 00:00:00+05:30,117.85,120.7,115.0,116.25,87600
2024-02-09 00:00:00+05:30,115.0,115.0,114.6,114.65,84000
2024-02-12 00:00:00+05:30,114.9,115.0,114.7,114.7,49200
2024-02-13 00:00:00+05:30,115.0,115.0,114.6,114.65,61200
2024-02-14 00:00:00+05:30,114.0,114.5,114.0,114.05,15600
2024-02-15 00:00:00+05:30,114.0,115.5,114.0,115.5,15600
2024-02-16 00:00:00+05:30,115.55,117.8,114.2,114.45,21600
2024-02-19 00:00:00+05:30,115.0,116.75,114.0,114.05,26400
2024-02-20 00:00:00+05:30,114.0,115.4,114.0,114.0,18000
2024-02-21 00:00:00+05:30,115.9,116.4,114.0,114.0,24000
2024-02-22 00:00:00+05:30,114.1,114.1,113.9,114.0,20400
2024-02-23 00:00:00+05:30,114.05,115.1,113.9,113.9,19200
2024-02-26 00:00:00+05:30,114.0,114.9,114.0,114.0,10800
2024-02-27 00:00:00+05:30,114.0,114.0,113.9,113.9,13200
2024-02-28 00:00:00+05:30,114.0,114.0,113.9,113.9,16800
2024-02-29 00:00:00+05:30,114.0,114.4,113.9,113.9,19200
2024-03-01 00:00:00+05:30,113.9,114.8,113.0,113.0,13200
2024-03-02 00:00:00+05:30,112.9,113.0,112.9,113.0,3600
2024-03-04 00:00:00+05:30,113.0,113.0,113.0,113.0,2400
2024-03-05 00:00:00+05:30,113.05,113.05,113.0,113.05,13200
2024-03-06 00:00:00+05:30,113.0,113.0,112.9,112.9,21600
2024-03-07 00:00:00+05:30,112.9,112.9,112.9,112.9,8400
2024-03-11 00:00:00+05:30,112.95,113.4,112.9,112.9,19200
2024-03-12 00:00:00+05:30,112.95,112.95,112.8,112.8,15600
2024-03-13 00:00:00+05:30,112.9,112.95,112.8,112.8,21600
2024-03-14 00:00:00+05:30,112.9,113.1,112.9,112.9,10800
2024-03-15 00:00:00+05:30,112.9,112.9,112.9,112.9,7200
2024-03-18 00:00:00+05:30,112.9,112.9,112.9,112.9,2400
2024-03-19 00:00:00+05:30,114.0,114.0,112.95,113.4,3600
2024-03-20 00:00:00+05:30,113.2,113.2,113.2,113.2,1200
2024-03-21 00:00:00+05:30,114.9,114.9,113.2,113.8,7200
2024-03-22 00:00:00+05:30,116.55,116.55,113.35,113.35,3600
2024-03-26 00:00:00+05:30,113.25,114.9,112.9,112.9,8400
2024-03-27 00:00:00+05:30,113.0,115.2,113.0,113.5,7200
2024-03-28 00:00:00+05:30,113.0,113.0,112.9,112.9,2400
2024-04-01 00:00:00+05:30,113.0,114.55,113.0,114.55,2400
2024-04-02 00:00:00+05:30,113.0,113.0,113.0,113.0,2400
2024-04-03 00:00:00+05:30,112.9,112.9,112.9,112.9,1200
2024-04-04 00:00:00+05:30,112.9,112.9,112.9,112.9,2400
2024-04-05 00:00:00+05:30,112.9,113.0,112.9,112.95,6000
2024-04-08 00:00:00+05:30,112.9,112.9,112.9,112.9,7200
2024-04-09 00:00:00+05:30,112.9,112.9,112.9,112.9,1200
2024-04-10 00:00:00+05:30,112.9,112.9,112.9,112.9,1200
2024-04-12 00:00:00+05:30,112.9,112.9,112.9,112.9,1200
2024-04-15 00:00:00+05:30,112.9,112.9,112.9,112.9,8400
2024-04-16 00:00:00+05:30,112.9,112.9,112.9,112.9,3600
2024-04-18 00:00:00+05:30,112.9,114.7,112.9,114.5,7200
2024-04-22 00:00:00+05:30,112.9,112.9,112.9,112.9,2400
2024-04-23 00:00:00+05:30,113.25,113.25,113.25,113.25,2400
2024-04-25 00:00:00+05:30,112.95,116.5,112.95,113.9,3600
2024-04-26 00:00:00+05:30,113.05,113.1,113.05,113.05,3600
2024-04-29 00:00:00+05:30,116.4,135.65,116.25,135.65,94800
2024-04-30 00:00:00+05:30,145.0,162.0,138.0,149.05,240000
2024-05-02 00:00:00+05:30,145.8,150.05,145.0,146.55,26400
2024-05-03 00:00:00+05:30,143.0,145.0,127.0,132.0,38400
2024-05-06 00:00:00+05:30,137.0,137.0,132.0,136.0,26400
2024-05-07 00:00:00+05:30,138.5,141.0,132.1,136.0,30000
2024-05-08 00:00:00+05:30,141.0,141.7,134.95,135.8,33600
2024-05-09 00:00:00+05:30,138.5,138.9,131.1,131.1,24000
2024-05-10 00:00:00+05:30,132.8,136.5,125.6,129.0,25200
2024-05-13 00:00:00+05:30,132.2,133.0,127.15,130.65,16800
2024-05-14 00:00:00+05:30,136.45,136.45,130.05,135.0,18000
2024-05-15 00:00:00+05:30,135.0,139.35,134.9,138.0,28800
2024-05-16 00:00:00+05:30,138.0,164.0,136.65,158.3,139200
2024-05-17 00:00:00+05:30,155.0,160.0,154.0,156.0,33600
2024-05-18 00:00:00+05:30,158.9,158.9,152.0,152.0,3600
2024-05-21 00:00:00+05:30,146.15,152.05,146.0,146.0,19200
2024-05-22 00:00:00+05:30,147.0,154.0,147.0,152.0,28800
2024-05-23 00:00:00+05:30,153.3,160.0,153.3,158.8,43200
2024-05-24 00:00:00+05:30,159.95,161.9,155.0,158.5,27600
2024-05-27 00:00:00+05:30,162.0,166.95,162.0,165.4,45600
2024-05-28 00:00:00+05:30,162.5,164.9,161.0,162.0,25200
2024-05-29 00:00:00+05:30,160.0,161.35,153.0,153.0,26400
2024-05-30 00:00:00+05:30,156.0,156.5,145.05,145.05,18000
2024-05-31 00:00:00+05:30,147.5,152.25,145.0,150.0,15600
2024-06-03 00:00:00+05:30,153.5,154.2,150.0,150.5,16800
2024-06-04 00:00:00+05:30,150.7,151.5,140.0,140.0,16800
2024-06-05 00:00:00+05:30,141.5,144.2,140.0,142.4,13200
2024-06-06 00:00:00+05:30,145.0,157.0,145.0,153.2,20400
2024-06-07 00:00:00+05:30,154.5,160.35,154.5,157.0,21600
2024-06-10 00:00:00+05:30,160.0,161.0,152.25,152.25,24000
2024-06-11 00:00:00+05:30,155.0,159.9,154.0,158.0,32400
2024-06-12 00:00:00+05:30,158.1,159.5,157.25,157.65,22800
2024-06-13 00:00:00+05:30,158.5,158.9,146.0,149.95,55200
2024-06-14 00:00:00+05:30,150.5,152.8,150.0,151.2,26400
2024-06-18 00:00:00+05:30,156.5,159.0,154.0,158.2,24000
2024-06-19 00:00:00+05:30,159.05,161.2,158.0,158.0,15600
2024-06-20 00:00:00+05:30,160.0,161.5,158.0,160.5,33600
2024-06-21 00:00:00+05:30,160.0,180.0,160.0,175.0,33600
2024-06-24 00:00:00+05:30,170.0,185.0,167.0,180.3,26400
2024-06-25 00:00:00+05:30,181.65,189.0,180.0,188.1,78000
2024-06-26 00:00:00+05:30,190.0,211.5,190.0,205.2,84000
2024-06-27 00:00:00+05:30,215.0,229.0,202.25,205.65,91200
2024-06-28 00:00:00+05:30,215.0,229.2,214.0,215.15,67200
2024-07-01 00:00:00+05:30,227.7,235.05,220.05,231.2,57600
2024-07-02 00:00:00+05:30,235.0,235.0,206.5,208.1,62400
2024-07-03 00:00:00+05:30,209.0,214.8,209.0,212.5,63600
2024-07-04 00:00:00+05:30,213.0,216.5,210.0,210.0,33600
2024-07-05 00:00:00+05:30,211.0,211.0,198.0,198.0,34800
2024-07-08 00:00:00+05:30,205.0,210.5,204.5,210.15,22800
2024-07-09 00:00:00+05:30,210.0,222.8,206.5,207.2,36000
2024-07-10 00:00:00+05:30,210.0,215.25,205.0,207.5,28800
2024-07-11 00:00:00+05:30,208.0,211.5,200.0,200.0,39600
2024-07-12 00:00:00+05:30,202.0,208.8,200.0,201.1,32400
2024-07-15 00:00:00+05:30,201.15,204.75,200.0,204.75,15600
2024-07-16 00:00:00+05:30,205.0,205.3,200.5,204.95,22800
2024-07-18 00:00:00+05:30,205.0,205.6,198.0,202.25,20400
2024-07-19 00:00:00+05:30,200.55,210.0,197.0,202.0,27600
2024-07-22 00:00:00+05:30,197.5,202.75,197.0,200.7,19200
2024-07-23 00:00:00+05:30,201.1,201.3,194.95,198.0,20400
2024-07-24 00:00:00+05:30,200.0,200.8,197.8,197.85,12000
2024-07-25 00:00:00+05:30,195.0,196.0,195.0,196.0,13200
2024-07-26 00:00:00+05:30,196.1,204.8,196.1,202.5,33600
2024-07-29 00:00:00+05:30,205.0,205.5,203.0,204.0,14400
2024-07-30 00:00:00+05:30,204.5,205.5,203.5,205.5,21600
2024-07-31 00:00:00+05:30,205.8,206.5,196.5,196.95,30000
2024-08-01 00:00:00+05:30,197.1,197.6,195.35,197.0,19200
2024-08-02 00:00:00+05:30,197.25,197.8,197.25,197.8,12000
2024-08-05 00:00:00+05:30,197.9,199.25,191.5,193.0,21600
2024-08-06 00:00:00+05:30,197.5,202.5,197.5,199.0,21600
2024-08-07 00:00:00+05:30,199.1,199.2,193.5,193.5,13200
2024-08-08 00:00:00+05:30,195.25,197.1,195.25,197.1,18000
2024-08-09 00:00:00+05:30,198.5,199.15,198.0,198.35,15600
2024-08-12 00:00:00+05:30,198.4,198.4,197.5,198.0,19200
2024-08-13 00:00:00+05:30,198.5,199.0,192.0,192.0,21600
2024-08-14 00:00:00+05:30,192.25,192.8,192.25,192.8,12000
2024-08-16 00:00:00+05:30,193.2,194.0,193.2,194.0,6000
2024-08-19 00:00:00+05:30,191.0,191.0,191.0,191.0,1200
2024-08-20 00:00:00+05:30,198.0,199.0,194.0,198.5,34800
2024-08-21 00:00:00+05:30,197.5,198.6,193.0,194.5,13200
2024-08-22 00:00:00+05:30,195.9,196.5,195.9,196.5,6000
2024-08-23 00:00:00+05:30,197.2,197.25,196.6,197.0,6000
2024-08-26 00:00:00+05:30,197.05,197.2,197.05,197.2,6000
2024-08-27 00:00:00+05:30,197.25,204.75,197.25,203.0,13200
2024-08-28 00:00:00+05:30,201.5,204.0,201.0,201.35,25200
2024-08-29 00:00:00+05:30,202.0,202.75,202.0,202.75,7200
2024-08-30 00:00:00+05:30,203.0,203.2,203.0,203.2,6000
2024-09-02 00:00:00+05:30,200.0,202.0,195.0,195.0,8400
2024-09-03 00:00:00+05:30,195.05,195.35,191.1,193.0,8400
2024-09-04 00:00:00+05:30,195.0,197.0,188.0,190.0,9600
2024-09-05 00:00:00+05:30,191.0,191.3,191.0,191.3,6000
2024-09-06 00:00:00+05:30,190.0,191.0,190.0,190.5,6000
2024-09-09 00:00:00+05:30,191.0,191.25,191.0,191.25,6000
2024-09-10 00:00:00+05:30,191.25,192.0,191.25,192.0,7200
2024-09-11 00:00:00+05:30,193.0,193.3,193.0,193.3,7200
2024-09-12 00:00:00+05:30,194.05,194.5,194.05,194.5,7200
2024-09-13 00:00:00+05:30,195.0,202.9,195.0,202.9,9600
2024-09-16 00:00:00+05:30,207.0,224.5,204.0,221.25,27600
2024-09-17 00:00:00+05:30,220.0,220.3,207.0,215.65,22800
2024-09-18 00:00:00+05:30,215.0,217.0,210.0,210.0,9600
2024-09-19 00:00:00+05:30,210.5,210.7,204.0,205.0,13200
2024-09-20 00:00:00+05:30,205.0,237.0,205.0,212.7,24000
2024-09-23 00:00:00+05:30,220.5,235.0,213.5,227.25,34800
2024-09-24 00:00:00+05:30,231.0,236.0,230.05,231.0,20400
2024-09-25 00:00:00+05:30,230.0,238.0,230.0,234.5,16800
2024-09-26 00:00:00+05:30,234.0,234.6,230.0,230.0,15600
2024-09-27 00:00:00+05:30,235.0,236.0,230.0,230.1,14400
2024-09-30 00:00:00+05:30,235.0,235.0,231.0,232.8,12000
2024-10-01 00:00:00+05:30,235.0,235.9,231.0,231.0,28800
2024-10-03 00:00:00+05:30,235.0,239.9,230.05,237.9,22800
2024-10-04 00:00:00+05:30,240.0,240.3,238.6,238.9,10800
2024-10-07 00:00:00+05:30,233.5,235.0,230.1,230.1,13200
2024-10-08 00:00:00+05:30,233.5,235.0,230.75,232.6,14400
2024-10-09 00:00:00+05:30,232.9,233.5,230.0,230.5,24000
2024-10-10 00:00:00+05:30,235.0,241.5,230.05,232.4,27600
2024-10-11 00:00:00+05:30,232.6,233.05,231.0,231.0,24000
2024-10-14 00:00:00+05:30,232.0,232.3,225.0,225.0,22800
2024-10-15 00:00:00+05:30,230.0,230.0,228.0,228.5,7200
2024-10-16 00:00:00+05:30,228.6,228.6,219.3,220.4,30000
2024-10-17 00:00:00+05:30,220.8,222.0,215.0,215.0,7200
2024-10-18 00:00:00+05:30,215.0,220.45,215.0,220.45,7200
2024-10-21 00:00:00+05:30,215.0,215.95,206.75,209.0,32400
2024-10-22 00:00:00+05:30,212.0,213.25,193.1,198.8,19200
2024-10-23 00:00:00+05:30,195.5,204.5,195.0,204.5,8400
2024-10-24 00:00:00+05:30,200.0,200.75,200.0,200.05,6000
2024-10-25 00:00:00+05:30,200.5,201.5,195.0,195.0,9600
2024-10-28 00:00:00+05:30,195.05,199.0,195.05,199.0,8400
2024-10-29 00:00:00+05:30,195.0,196.0,195.0,196.0,6000
2024-10-30 00:00:00+05:30,198.0,204.7,196.15,196.15,12000
2024-10-31 00:00:00+05:30,196.2,214.0,196.2,206.7,9600
2024-11-01 00:00:00+05:30,208.0,208.35,208.0,208.35,4800
2024-11-04 00:00:00+05:30,200.0,203.0,200.0,203.0,8400
2024-11-05 00:00:00+05:30,202.5,223.5,202.5,205.0,12000
2024-11-06 00:00:00+05:30,205.2,211.5,203.1,211.5,10800
2024-11-07 00:00:00+05:30,205.0,209.7,205.0,209.7,7200
2024-11-08 00:00:00+05:30,205.0,210.0,205.0,205.0,12600
2024-11-11 00:00:00+05:30,212.0,213.1,209.0,209.0,7800
2024-11-12 00:00:00+05:30,205.0,209.5,205.0,209.5,6000
2024-11-13 00:00:00+05:30,205.1,206.85,205.1,206.85,6000
2024-11-14 00:00:00+05:30,205.1,205.35,195.0,195.0,12600
2024-11-18 00:00:00+05:30,201.0,201.0,194.8,194.8,8400
2024-11-19 00:00:00+05:30,195.25,195.75,190.35,191.25,10200
2024-11-21 00:00:00+05:30,194.1,195.5,190.1,191.05,7200
2024-11-22 00:00:00+05:30,191.1,193.95,189.65,193.95,9000
2024-11-25 00:00:00+05:30,194.1,196.1,194.1,196.1,6600
2024-11-26 00:00:00+05:30,196.25,197.5,196.25,197.5,6000
2024-11-27 00:00:00+05:30,197.7,197.95,197.5,197.8,6000
2024-11-28 00:00:00+05:30,198.0,207.6,198.0,204.5,19800
2024-11-29 00:00:00+05:30,204.75,212.0,204.75,211.05,16800
2024-12-02 00:00:00+05:30,206.5,229.5,206.0,216.05,12600
2024-12-03 00:00:00+05:30,218.25,222.5,218.0,220.5,27000
2024-12-04 00:00:00+05:30,221.5,225.75,221.5,225.75,9000
2024-12-05 00:00:00+05:30,228.1,231.0,226.75,226.75,7200
2024-12-06 00:00:00+05:30,226.9,230.0,224.4,230.0,13800
2024-12-09 00:00:00+05:30,228.1,258.0,228.1,236.25,10200
2024-12-10 00:00:00+05:30,238.25,248.5,238.25,244.65,9000
2024-12-11 00:00:00+05:30,242.5,243.5,242.5,243.5,6000
2024-12-12 00:00:00+05:30,240.15,290.0,240.15,244.65,27000
2024-12-13 00:00:00+05:30,246.5,246.75,240.0,245.0,9000
2024-12-16 00:00:00+05:30,246.5,263.0,246.5,249.9,13800
2024-12-17 00:00:00+05:30,250.05,256.0,250.0,250.0,13200
2024-12-18 00:00:00+05:30,255.1,256.05,250.0,254.7,8400
2024-12-19 00:00:00+05:30,253.05,274.5,249.4,265.9,15600
2024-12-20 00:00:00+05:30,266.1,266.85,238.0,238.65,57000
2024-12-23 00:00:00+05:30,245.5,257.5,242.05,249.75,18000
2024-12-24 00:00:00+05:30,253.5,254.4,253.5,254.0,11400
2024-12-26 00:00:00+05:30,256.15,258.0,256.15,258.0,6000
2024-12-27 00:00:00+05:30,255.05,255.05,255.05,255.05,600
2024-12-30 00:00:00+05:30,251.5,251.95,250.05,251.4,14400
2024-12-31 00:00:00+05:30,254.1,256.0,240.0,240.0,24600
2025-01-01 00:00:00+05:30,245.1,246.75,240.0,240.2,19800
2025-01-02 00:00:00+05:30,242.15,244.5,240.0,240.0,10800
2025-01-03 00:00:00+05:30,244.25,267.5,241.0,250.0,15600
2025-01-06 00:00:00+05:30,252.1,253.25,245.0,245.0,13800
2025-01-07 00:00:00+05:30,245.0,245.0,235.0,235.0,15600
2025-01-08 00:00:00+05:30,237.5,248.5,237.5,243.95,10800
2025-01-09 00:00:00+05:30,244.05,244.15,235.0,235.25,12600
2025-01-10 00:00:00+05:30,236.15,237.05,234.35,234.35,16200
2025-01-13 00:00:00+05:30,230.0,230.0,220.0,220.0,11400
2025-01-14 00:00:00+05:30,217.0,217.95,215.0,215.0,12600
2025-01-15 00:00:00+05:30,219.95,219.95,213.35,213.55,2400
2025-01-16 00:00:00+05:30,220.5,239.5,220.5,221.0,17400
2025-01-17 00:00:00+05:30,221.0,221.0,220.0,220.0,15000
2025-01-20 00:00:00+05:30,220.5,225.0,220.1,225.0,4200
2025-01-21 00:00:00+05:30,220.15,222.45,219.0,221.0,20400
2025-01-22 00:00:00+05:30,225.75,225.75,225.75,225.75,600
2025-01-23 00:00:00+05:30,231.0,236.25,230.0,230.5,12600
2025-01-24 00:00:00+05:30,230.5,234.6,230.5,234.6,3000
2025-01-27 00:00:00+05:30,230.0,230.0,230.0,230.0,1200
2025-01-28 00:00:00+05:30,234.0,244.5,234.0,238.0,3000
2025-01-30 00:00:00+05:30,245.65,258.9,245.65,246.0,3000
2025-01-31 00:00:00+05:30,240.5,248.5,240.0,244.25,1800
2025-02-01 00:00:00+05:30,252.0,264.0,238.5,251.0,25800
2025-02-03 00:00:00+05:30,251.05,251.05,250.0,250.0,1200
2025-02-04 00:00:00+05:30,251.15,260.3,251.15,255.85,4200
2025-02-05 00:00:00+05:30,255.15,255.15,254.0,254.0,9000
2025-02-06 00:00:00+05:30,254.35,254.35,254.0,254.0,8400
2025-02-07 00:00:00+05:30,254.1,262.0,254.0,262.0,5400
2025-02-10 00:00:00+05:30,260.0,260.0,260.0,260.0,6000
2025-02-11 00:00:00+05:30,260.0,260.0,250.75,259.75,4200
2025-02-12 00:00:00+05:30,250.0,250.0,250.0,250.0,600
